id,lot_area,land_slope,central_air,gr_liv_area,totrms_abvgrd,new_property,saleprice,paved,irregular,cul_de_sac,positive_feature,noisy,years_old,non-living,baseline,condition,floating_village
1707,13615,1,1,1802,7,0,372000,1,1,0,0,0,1,2065.0,317500.0,28,0
2428,3013,0,1,1506,6,0,213490,1,0,0,0,0,1,1524.0,192250.0,26,0
242,17485,0,1,1508,5,0,308030,1,1,0,0,0,0,1508.0,125000.0,26,0
1564,23730,0,1,2032,7,0,300000,1,1,0,0,0,11,2078.0,160000.0,26,0
2613,8910,0,1,1194,6,0,159500,1,0,0,0,0,47,847.0,141000.0,27,0
2832,2522,0,1,1709,7,0,137500,1,0,0,0,0,2,1010.0,125000.0,24,0
2459,8688,0,1,1616,7,0,232000,1,0,0,0,0,1,1883.0,224000.0,26,0
1360,6291,0,1,768,4,0,93850,0,1,0,0,1,58,852.0,102388.0,22,0
2723,17529,0,0,872,5,0,105000,1,0,0,0,0,56,988.0,135000.0,17,0
1350,6324,0,0,520,4,0,68500,1,1,0,0,1,58,656.0,128000.0,19,0
136,11600,0,1,2274,12,0,154300,1,0,0,0,1,50,1105.0,141000.0,19,0
2235,7288,0,1,1601,6,0,129850,1,0,0,0,1,4,1112.0,102388.0,27,0
1993,4571,0,1,1232,6,0,114000,1,0,0,0,0,57,1039.0,120000.0,24,0
367,17423,0,1,2234,9,1,501837,1,1,1,0,0,0,2276.0,322450.0,28,0
1309,12665,0,1,1416,7,0,153900,1,1,0,0,1,58,1488.0,120000.0,24,0
402,9000,0,1,864,5,0,130000,1,0,0,0,0,3,1064.0,141000.0,22,0
1592,4500,0,1,1189,4,0,160500,1,0,0,0,0,11,1311.0,160000.0,25,0
2409,6373,0,1,1666,6,1,310090,1,0,0,0,0,0,1969.0,317500.0,28,0
539,10083,0,1,1200,5,0,184900,1,0,0,0,0,6,1217.0,181000.0,26,0
1940,13300,0,1,928,4,0,132000,1,0,0,0,0,7,1345.0,141000.0,24,0
588,9600,0,1,1336,6,0,163000,1,0,0,0,1,40,1611.0,185650.0,22,0
96,3215,0,1,1200,4,0,155000,1,0,0,0,0,6,772.0,224000.0,24,1
1187,11104,0,1,1427,7,0,183000,1,1,0,0,0,39,1643.0,185000.0,25,0
2154,15295,0,1,1992,7,0,211000,1,1,0,0,0,5,1117.0,200000.0,26,0
550,9109,0,1,1540,6,0,184000,1,0,0,0,1,15,926.0,181000.0,26,0
811,7018,0,1,1535,8,0,118858,1,0,0,0,0,30,0.0,181000.0,22,0
124,14112,0,1,1152,6,0,180500,1,1,0,0,0,46,1379.0,141000.0,24,0
1836,3523,0,1,1151,5,1,166000,1,1,0,0,0,0,1201.0,224000.0,27,1
779,15312,0,1,1138,6,0,148000,1,0,0,0,0,49,1278.0,135000.0,25,0
1886,7450,0,1,1074,6,0,124000,1,1,0,0,0,51,966.0,141000.0,21,0
1724,7313,0,1,1561,6,0,277500,1,0,0,0,0,2,1811.0,317500.0,28,0
2450,10019,0,1,2726,9,0,350000,1,1,0,0,0,11,1986.0,300750.0,27,0
1013,15401,0,1,1884,7,0,387000,1,1,1,0,0,4,2174.0,322450.0,28,0
2084,9098,0,1,605,5,0,86000,1,1,0,0,0,5,672.0,125000.0,26,0
1184,16280,0,1,1671,6,0,290000,1,0,0,0,0,1,1796.0,260000.0,31,0
728,9392,0,0,797,5,0,44000,1,0,0,0,0,59,375.0,102388.0,19,0
950,12209,0,1,1961,7,0,215000,1,1,1,0,0,7,1121.0,160000.0,26,0
2524,13110,0,1,1193,6,0,146500,1,1,0,0,1,34,1446.0,185000.0,25,0
2513,2651,0,1,1382,6,0,165000,1,0,0,0,0,6,876.0,224000.0,24,1
2028,8520,0,0,2526,10,0,136000,1,0,0,0,1,57,817.0,120000.0,23,0
2309,39384,1,1,1390,4,0,252000,1,1,1,0,0,49,1894.0,141000.0,26,0
51,2628,0,1,1626,6,0,175500,1,0,0,0,0,7,791.0,317500.0,27,0
699,6406,0,1,1558,7,0,150000,1,0,0,0,0,59,908.0,120000.0,20,0
1881,12342,0,1,1422,6,0,139900,1,1,0,0,0,29,1014.0,141600.0,22,0
1345,6240,0,1,1573,8,0,162900,1,0,0,0,0,16,1078.0,128000.0,22,0
166,10000,0,1,1116,5,0,160000,1,1,0,0,0,48,1501.0,141000.0,24,0
781,9000,0,0,660,5,0,63900,1,0,0,0,0,59,100.0,135000.0,16,0
379,11088,0,1,1707,7,0,184000,1,0,0,0,0,11,1140.0,185000.0,24,0
2818,17755,0,1,1466,6,0,149900,1,0,0,0,0,47,1706.0,125000.0,21,0
1168,4765,0,1,1638,5,0,300000,1,1,0,0,0,8,1912.0,224000.0,28,1
1396,10532,0,1,1721,7,0,145000,1,0,0,0,0,48,1122.0,225000.0,20,0
838,15426,0,1,1764,7,0,231500,1,1,0,0,0,12,1303.0,200000.0,25,0
1492,13907,0,1,996,6,0,108000,1,0,0,0,0,39,1140.0,125000.0,26,0
637,8750,0,1,1202,6,0,120000,1,0,0,0,0,53,1357.0,141000.0,22,0
1826,9945,0,1,988,5,0,128500,1,1,0,0,0,46,988.0,135000.0,20,0
173,8960,0,1,1028,5,0,115000,1,0,0,0,1,60,1138.0,120000.0,21,0
715,3500,0,1,1284,5,0,110000,1,0,0,0,0,59,755.0,120000.0,22,0
1183,24572,0,1,2944,9,0,150000,1,1,1,0,0,31,1220.0,260000.0,24,0
2433,9056,0,1,1414,6,0,178000,1,1,0,0,0,2,842.0,180750.0,27,0
2866,12320,0,1,1609,8,0,199500,1,1,0,0,0,16,741.0,199500.0,27,0
2311,8238,0,1,1525,6,0,183500,1,1,0,0,0,8,1306.0,180750.0,25,0
1551,6000,0,1,1656,7,0,126000,1,0,0,0,0,41,904.0,102388.0,24,0
1049,2529,0,1,1055,4,0,148500,1,0,0,0,0,31,1093.0,143000.0,24,0
657,10800,0,1,1352,7,0,149000,1,0,0,0,0,3,991.0,120000.0,24,0
414,2349,0,1,1456,6,0,137900,1,0,0,0,0,32,883.0,143000.0,23,0
1181,10846,0,1,1719,6,0,324000,1,1,1,0,0,15,1871.0,260000.0,27,0
1514,5604,0,0,864,5,0,98000,1,0,0,0,0,58,960.0,125000.0,23,0
1040,1680,0,1,987,5,0,103400,1,0,0,0,0,35,535.0,105500.0,21,0
216,6342,0,0,1020,6,0,94000,1,0,0,0,1,14,956.0,135000.0,27,0
1720,4590,0,1,1554,6,0,209500,1,0,0,0,0,1,1783.0,317500.0,27,0
2331,18062,0,1,3390,10,1,545224,1,1,1,0,0,0,1766.0,322450.0,30,0
204,12900,0,1,1560,7,0,159900,1,0,0,0,0,1,1292.0,120000.0,29,0
19,19138,0,1,864,4,0,141000,1,0,0,0,0,59,864.0,180750.0,21,0
2438,8658,0,1,1889,9,0,215000,1,1,0,0,0,6,982.0,180750.0,25,0
89,6897,0,1,1040,6,0,127000,1,1,0,0,0,0,1144.0,135000.0,25,0
240,9525,0,1,1172,5,0,128000,1,0,0,0,0,12,1412.0,125000.0,24,0
105,12853,0,1,1418,6,1,267916,1,1,0,0,0,0,2218.0,224000.0,27,1
2020,6240,0,1,1367,6,0,127500,1,0,0,0,0,57,1004.0,128000.0,21,0
888,7301,0,1,1922,7,0,198500,1,0,0,0,0,6,177.0,125000.0,27,0
1019,12090,0,1,1422,7,0,175500,1,1,0,0,0,27,1698.0,185000.0,24,0
2132,8826,0,1,1842,7,0,217500,1,0,0,0,0,7,1274.0,200000.0,26,0
203,8094,0,1,1962,9,0,149500,1,0,0,0,0,60,1412.0,120000.0,21,0
420,10710,0,1,1120,5,0,148800,1,0,0,0,0,5,1026.0,142200.0,26,0
2333,16056,0,1,2868,11,1,556581,1,1,0,0,0,0,2314.0,322450.0,29,0
632,8400,0,1,1478,6,0,156500,1,0,0,0,0,52,1808.0,141000.0,22,0
2800,11250,0,1,1995,8,0,237000,1,0,0,0,0,10,1375.0,200000.0,26,0
1885,7535,0,1,912,5,0,120000,1,1,0,0,0,22,1209.0,141480.0,23,0
1734,12216,0,1,1326,6,0,203000,1,1,0,0,0,2,1469.0,182750.0,25,0
2327,3701,0,1,1204,5,0,130000,1,1,0,0,0,19,1381.0,322450.0,25,0
1282,9760,1,1,1611,7,0,167900,1,0,0,0,0,44,1425.0,141000.0,24,0
2688,9873,0,0,960,6,0,129000,1,0,0,0,0,36,1248.0,128000.0,19,0
2581,10011,0,1,1236,6,0,134450,1,1,0,0,0,10,1070.0,141000.0,23,0
2067,25339,0,1,1416,7,0,112000,1,0,0,0,0,0,928.0,135000.0,26,0
2115,8883,0,1,1873,7,0,207000,1,1,0,0,0,19,1229.0,181000.0,26,0
754,3000,0,0,2128,11,0,62500,1,0,0,0,0,59,1096.0,120000.0,19,0
1079,2448,0,1,1626,6,0,154000,1,0,0,0,0,4,791.0,317500.0,27,0
2615,7100,0,1,816,5,0,129900,1,1,0,0,0,49,816.0,141000.0,21,0
329,2592,0,1,1112,4,0,85000,1,0,0,0,0,34,718.0,92450.0,20,0
1320,5700,0,1,1111,5,0,116900,1,0,0,0,0,58,748.0,120000.0,24,0
416,2289,0,1,1441,7,0,148500,1,0,0,0,0,31,883.0,143000.0,24,0
284,12180,0,0,924,5,0,80000,1,0,0,0,0,60,672.0,125000.0,16,0
1385,7400,0,1,1126,5,0,152000,1,1,1,0,0,24,1238.0,135000.0,22,0
275,8842,0,1,992,6,0,155891,1,0,0,0,0,56,497.0,125000.0,23,0
2024,8850,0,1,1376,7,0,165000,1,0,0,0,0,57,966.0,128000.0,25,0
68,9215,0,1,1218,4,1,204500,1,0,0,0,0,0,1354.0,224000.0,26,1
1910,9480,0,1,1644,7,0,146500,1,0,0,0,1,12,896.0,141000.0,26,0
381,11880,0,1,1601,7,0,157000,1,1,0,0,0,31,1271.0,185000.0,24,0
1323,10800,0,1,2495,10,0,184000,1,0,0,0,0,9,1612.0,120000.0,25,0
2432,7861,0,1,1509,7,0,183200,1,1,0,0,0,3,958.0,180750.0,25,0
777,11616,0,1,1092,6,0,139000,1,0,0,0,0,47,1256.0,135000.0,22,0
1107,10542,0,1,2418,9,0,341000,1,0,0,0,0,14,1931.0,300750.0,26,0
30,1680,0,1,987,5,0,96000,1,0,0,0,0,39,758.0,105500.0,21,0
282,8546,0,1,1121,5,0,140000,1,0,0,0,0,6,1317.0,125000.0,23,0
188,7407,0,1,1236,6,0,149700,1,0,0,0,1,14,1228.0,120000.0,24,0
2356,10140,0,1,1074,6,0,153500,1,0,0,0,0,31,1144.0,185000.0,25,0
1464,8158,0,1,1768,8,0,224900,1,0,0,0,0,5,947.0,200000.0,26,0
2469,7500,0,1,1266,6,0,176000,1,0,0,0,0,1,1439.0,224000.0,26,1
1834,10678,0,1,2872,9,0,285000,1,0,0,0,0,7,1716.0,300750.0,27,0
1779,15256,0,1,1464,6,0,282922,1,1,1,0,0,0,1813.0,224000.0,27,0
2569,14200,0,1,2157,8,0,226000,1,0,0,0,0,40,1095.0,141000.0,27,0
2334,12438,0,1,2576,10,1,361919,1,1,0,0,0,0,1658.0,322450.0,28,0
2330,16023,0,1,2798,11,1,457347,1,1,1,0,0,0,1617.0,322450.0,29,0
2119,20064,1,1,1743,5,0,279000,1,1,0,0,0,31,1612.0,225000.0,28,0
988,9819,1,1,1567,5,0,196000,1,1,0,0,0,32,1863.0,160000.0,23,0
382,10400,0,1,1370,6,0,152000,1,0,0,0,0,33,1090.0,185000.0,24,0
670,11643,0,1,2634,12,0,200000,1,0,0,0,1,40,1248.0,141000.0,20,0
2760,11645,0,1,1590,6,1,294900,1,0,0,0,0,0,1826.0,200000.0,27,0
543,7328,0,1,1450,6,1,224243,1,0,0,0,0,0,1543.0,181000.0,26,0
2835,7822,0,1,1338,7,0,92000,1,0,0,0,1,56,1040.0,125000.0,17,0
1735,9018,0,1,1456,8,1,179540,1,1,0,0,0,0,852.0,180750.0,26,0
448,13472,0,1,2392,8,0,386250,1,0,0,0,0,6,2745.0,317500.0,29,0
2287,1533,0,1,992,4,0,106500,1,0,0,0,0,37,739.0,92450.0,22,0
524,11003,0,1,2007,10,0,310000,1,0,0,0,0,1,1237.0,224000.0,29,1
1767,10790,0,1,2385,8,0,252000,1,0,0,0,0,9,1224.0,300750.0,27,0
2206,7128,0,1,1646,7,0,164000,1,0,0,0,0,57,1044.0,199500.0,23,0
1740,7713,0,1,1456,7,1,177594,1,0,0,0,0,0,852.0,180750.0,26,0
199,6240,0,1,1040,5,0,123900,1,0,0,0,0,30,866.0,128000.0,23,0
2214,22420,0,0,2624,10,0,239000,1,1,0,0,1,57,1370.0,199500.0,21,0
323,15300,0,1,1264,7,0,169000,1,0,0,0,0,33,1068.0,160000.0,22,0
2421,3196,0,1,1557,7,0,234000,1,0,0,0,0,2,1537.0,192250.0,26,0
952,9360,0,1,1287,5,0,173000,1,0,0,0,0,32,1418.0,160000.0,25,0
24,11241,0,1,1004,5,0,149000,1,1,1,0,0,40,1004.0,141700.0,27,0
1139,9260,0,1,1162,6,0,170000,1,0,0,0,0,1,1194.0,181000.0,26,0
518,7993,0,1,1436,6,1,225000,1,1,0,0,0,0,1557.0,224000.0,26,1
1390,9239,0,1,960,6,0,144900,1,0,0,0,1,5,1128.0,135000.0,27,0
277,10044,0,1,1196,6,0,144000,1,1,1,0,0,42,1621.0,125000.0,23,0
54,3182,0,1,1269,6,0,192000,1,0,0,0,0,5,1566.0,192250.0,27,0
649,7626,0,1,1031,5,0,145500,1,0,0,0,0,4,1031.0,141000.0,26,0
2600,7008,0,1,720,5,0,86900,1,0,0,0,0,8,518.0,120000.0,26,0
617,12160,0,1,1505,6,0,149500,1,0,0,0,1,56,1667.0,141000.0,24,0
2209,6305,0,1,954,5,0,119750,1,0,0,0,0,57,920.0,199500.0,25,0
2814,8846,0,1,1500,6,1,173900,1,0,0,0,0,0,785.0,200000.0,25,0
2542,10659,0,1,1050,6,0,136500,1,1,0,0,0,45,1369.0,141000.0,23,0
2323,13108,0,1,2687,9,0,270000,1,1,0,0,0,12,2242.0,322450.0,27,0
1393,13500,0,1,1252,4,0,235000,1,0,0,0,0,33,2011.0,225000.0,26,0
490,7750,0,1,1430,7,0,156000,1,0,0,0,0,9,384.0,180750.0,27,0
542,12450,0,1,1114,6,0,153000,1,0,0,0,1,5,1156.0,181000.0,22,0
973,4500,0,1,1224,5,0,165000,1,0,0,0,0,10,1528.0,160000.0,25,0
1012,11198,0,1,2504,11,0,325000,1,1,0,0,0,1,1305.0,322450.0,29,0
2218,6221,0,1,1355,5,0,140000,1,1,0,0,0,57,872.0,199500.0,22,0
2033,13200,0,1,2294,9,0,202500,1,0,0,0,0,44,851.0,102388.0,23,0
1071,8769,0,1,1702,7,1,367294,1,0,0,0,0,0,1998.0,317500.0,28,0
1583,10200,0,1,1509,5,0,175000,1,0,0,0,0,19,1685.0,220000.0,25,0
2858,9550,0,1,1717,7,0,140000,1,1,0,0,0,36,1063.0,199500.0,23,0
2265,10331,0,1,1240,6,0,174000,1,0,1,0,0,22,1497.0,220000.0,27,0
1088,9587,0,1,1166,5,0,190000,1,1,0,0,0,3,1068.0,180750.0,26,0
698,9900,0,1,1464,7,0,129000,1,0,0,0,0,7,680.0,120000.0,28,0
1896,22002,0,1,1652,6,0,200000,1,0,0,0,0,16,1793.0,141000.0,26,0
628,13000,0,1,2142,8,0,193500,1,0,0,0,0,41,1220.0,141000.0,24,0
1212,8250,0,1,1092,6,0,145000,1,0,0,0,0,44,1092.0,141000.0,27,0
2864,8170,0,1,1671,7,0,218000,1,1,0,0,0,56,1022.0,199500.0,25,0
2740,12048,0,1,1488,7,0,135000,1,0,0,0,0,4,573.0,125000.0,24,0
2560,10858,0,1,1624,6,0,146500,1,0,0,0,1,54,1808.0,141000.0,25,0
1716,7577,0,1,1362,6,0,194700,1,1,0,0,0,1,1582.0,317500.0,25,0
1130,7500,0,1,1218,6,1,230348,1,0,0,0,0,0,1554.0,224000.0,26,1
201,6120,0,1,1068,5,0,109500,1,0,0,0,1,60,1252.0,120000.0,21,0
2886,23580,1,1,1625,6,0,242500,1,1,0,0,0,27,1789.0,160000.0,24,0
2328,5306,0,1,1767,5,0,239000,1,1,0,0,0,19,1540.0,322450.0,27,0
2583,8092,0,1,1050,6,0,156000,1,0,0,0,0,6,1050.0,141000.0,28,0
1206,8593,0,1,907,5,0,109008,1,1,0,0,0,51,907.0,141000.0,22,0
2242,11067,0,1,845,4,0,68104,1,0,0,0,0,57,48.0,102388.0,18,0
1105,11929,0,1,2501,9,0,290000,1,1,1,0,0,13,1521.0,300750.0,29,0
121,9900,0,1,1209,6,0,159000,1,0,0,0,0,44,1329.0,141000.0,23,0
1223,4882,1,1,906,5,0,87000,1,1,0,0,1,58,348.0,128000.0,22,0
265,11423,0,1,1601,6,0,272000,1,0,0,0,0,8,1761.0,202000.0,27,0
2813,8772,0,1,1336,6,1,198000,1,0,0,0,0,0,1515.0,200000.0,26,0
1294,7628,0,1,1656,8,0,119164,1,0,0,0,0,23,988.0,120000.0,20,0
2745,8335,0,1,1124,5,0,93000,1,0,0,0,0,52,226.0,125000.0,24,0
1094,8220,0,1,1892,8,0,226750,1,1,0,0,0,7,1090.0,180750.0,26,0
651,10615,1,1,1699,7,0,95000,1,1,0,0,1,39,1052.0,120000.0,17,0
198,6000,0,1,1416,6,0,139900,1,0,0,0,0,60,1049.0,128000.0,23,0
131,5350,0,1,1306,6,0,76500,1,1,0,0,0,44,991.0,128450.0,20,0
1258,5400,0,1,672,4,0,86900,1,0,0,0,0,3,868.0,120000.0,22,0
1599,17979,0,1,1160,6,0,152500,1,1,0,0,0,40,1194.0,160500.0,25,0
1508,9520,1,1,930,5,0,99000,1,0,0,0,0,55,1045.0,128000.0,21,0
615,5330,0,1,708,5,0,82500,1,0,0,0,0,59,584.0,128000.0,25,0
1815,8012,0,1,1575,5,0,179200,1,0,0,0,0,15,1627.0,181000.0,24,0
2712,9000,0,1,1059,6,0,142500,1,0,0,0,0,40,1147.0,135000.0,24,0
2051,14299,0,1,1005,5,0,115400,1,0,0,0,1,43,1005.0,135000.0,17,0
1863,7050,0,1,1929,7,0,226000,1,0,0,0,0,6,1292.0,224000.0,26,1
2510,3180,0,1,1200,4,0,144152,1,0,0,0,0,1,766.0,224000.0,24,1
1069,16451,0,1,2690,9,0,370000,1,1,0,0,0,5,2091.0,317500.0,28,0
336,12887,0,1,833,5,0,149900,1,0,0,0,0,26,1264.0,160000.0,24,0
2417,15578,0,1,1456,8,1,172785,1,1,0,0,0,0,728.0,180750.0,24,0
1962,7200,0,1,864,5,0,129000,1,0,0,0,0,5,1058.0,141000.0,24,0
372,17043,0,1,1586,7,0,181000,1,1,1,0,0,11,1554.0,185000.0,23,0
2578,10000,0,1,1370,6,0,148000,1,0,0,0,0,50,1369.0,141000.0,24,0
2824,8050,0,1,914,4,0,117250,1,0,0,0,0,4,946.0,125000.0,26,0
471,3182,0,1,1555,7,0,192500,1,0,0,0,0,3,1536.0,192250.0,26,0
1544,1950,0,1,1556,6,0,151000,1,0,0,0,0,28,877.0,137500.0,24,0
2141,7700,0,1,882,5,0,112500,1,0,0,0,0,35,978.0,200000.0,20,0
2008,8731,0,1,1167,6,0,144000,1,1,0,0,0,57,1257.0,128000.0,20,0
1075,8232,0,1,1800,6,1,370967,1,1,0,0,0,0,2010.0,317500.0,28,0
34,2280,0,1,1456,6,0,149900,1,0,0,0,0,35,1028.0,143000.0,24,0
847,8935,0,1,1660,7,0,195000,1,1,0,0,0,7,1043.0,200000.0,26,0
1629,9125,0,1,1482,7,0,163900,1,1,0,0,0,15,509.0,180750.0,25,0
2073,11075,0,1,1522,7,0,182000,1,0,0,0,0,23,1435.0,225000.0,25,0
960,13438,0,1,2036,9,0,410000,1,1,0,0,0,1,2434.0,220000.0,28,0
955,11070,0,1,1595,5,0,152000,1,0,0,0,0,18,1582.0,160000.0,20,0
2476,7800,0,1,1686,8,0,184000,1,0,0,0,0,1,1136.0,181000.0,26,0
1590,7060,0,1,1344,8,0,206300,1,0,0,0,0,10,1344.0,160000.0,26,0
2913,11836,0,1,1652,8,0,146500,1,1,0,0,0,36,1652.0,160000.0,21,0
149,8382,0,1,1337,5,0,108000,1,0,0,0,0,54,832.0,141000.0,20,0
2525,10192,0,1,1920,8,0,170000,1,1,0,0,0,14,668.0,185000.0,26,0
1470,4426,0,1,848,3,0,145000,1,0,0,0,0,4,988.0,200000.0,25,0
412,2280,0,1,1055,4,0,123000,1,0,0,0,0,34,1084.0,143000.0,24,0
1399,2887,0,1,1291,6,0,173000,1,0,0,0,0,11,1598.0,225000.0,25,0
183,8520,0,1,720,5,0,105900,1,0,0,0,0,7,730.0,120000.0,25,0
974,1596,0,1,988,5,0,91000,1,0,0,0,0,36,683.0,92450.0,22,0
930,15600,0,0,1523,7,0,158000,1,0,0,0,0,4,1148.0,199500.0,23,0
881,9313,0,1,1728,7,0,190000,1,1,0,0,0,5,1107.0,200000.0,26,0
1180,11064,0,1,1239,4,0,217500,1,1,1,0,0,13,1426.0,260000.0,27,0
1553,9000,0,1,1955,7,0,165500,1,0,0,0,0,50,1151.0,102388.0,22,0
928,12000,0,1,1564,7,0,174500,1,0,0,0,0,59,704.0,199500.0,28,0
1512,7692,1,1,1204,6,0,100000,1,0,0,0,0,54,416.0,125000.0,21,0
3,14267,0,1,1329,6,0,172000,1,1,0,0,0,52,1758.0,153500.0,24,0
2140,9675,0,1,879,5,0,120000,1,0,0,0,0,32,944.0,200000.0,23,0
553,8400,0,1,841,4,0,82000,1,0,0,0,1,59,995.0,181000.0,18,0
