id,lot_area,land_slope,central_air,gr_liv_area,totrms_abvgrd,new_property,paved,irregular,cul_de_sac,positive_feature,noisy,years_old,non-living,baseline,condition,floating_village
2010,6125,0,1,1274,6,0,1,0,0,0,0,9,920,128000.0,24,0
1991,9863,0,1,1642,9,0,1,0,0,0,0,57,728,120000.0,22,0
1411,9571,0,1,1509,6,0,1,0,0,0,0,52,2243,125000.0,22,0
1721,4590,0,1,1554,6,0,1,0,0,0,0,1,1783,317500.0,27,0
1144,8450,0,1,1677,7,0,1,0,0,0,0,7,895,181000.0,25,0
593,8400,0,1,1665,6,0,1,0,0,0,0,8,855,185000.0,28,0
575,14694,0,1,1694,5,0,1,1,0,0,0,1,2540,260000.0,31,0
1249,14250,0,1,1790,6,0,1,0,0,0,0,51,1038,142500.0,23,0
1604,6951,0,1,923,5,0,1,1,1,0,0,23,1238,160000.0,22,0
1064,12720,1,1,2470,7,0,1,0,0,0,0,5,2970,317500.0,29,0
1923,11988,0,1,1244,6,0,1,1,0,0,1,50,1284,141000.0,25,0
1988,3880,0,1,866,4,0,1,0,0,0,1,10,786,120000.0,28,0
2325,7685,0,1,1501,6,0,1,1,0,0,0,12,950,180750.0,24,0
114,18837,0,1,1891,7,0,1,1,0,0,0,32,1293,185000.0,23,0
2700,11136,0,1,1921,8,0,1,0,0,0,1,42,2101,135000.0,21,0
217,10773,0,0,1832,8,0,1,0,0,0,0,43,1890,135000.0,20,0
343,10200,0,1,1434,7,0,1,0,0,0,0,35,1535,141000.0,23,0
386,7500,0,1,1874,7,0,1,0,0,0,0,8,1192,224000.0,27,1
2005,11800,0,1,1382,6,0,1,0,0,0,0,5,40,120000.0,25,0
2908,17217,0,1,1140,6,0,1,0,0,0,0,0,1232,160000.0,25,0
1814,16196,0,1,1494,5,0,1,1,0,0,0,9,1909,181000.0,26,0
2446,35760,0,1,3627,10,0,1,1,1,0,0,10,2367,300750.0,29,0
208,7630,0,1,1812,8,0,1,0,0,0,1,14,744,120000.0,25,0
1679,2016,0,1,1302,6,0,1,0,0,0,0,37,630,105500.0,20,0
822,10816,0,1,1720,8,0,1,1,0,0,0,1,2032,200000.0,28,0
6,9978,0,1,1604,7,0,1,1,0,0,0,12,1322,180750.0,26,0
1781,12291,0,1,1966,6,1,1,1,0,0,0,0,2094,224000.0,29,0
2397,11065,0,1,1970,8,1,1,1,0,0,0,0,1336,317500.0,28,0
2340,8147,0,1,1714,7,0,1,0,0,0,0,1,1925,322450.0,28,0
1618,13869,0,1,1470,6,0,1,1,0,0,0,10,869,180750.0,25,0
2843,6204,0,0,2230,10,0,1,0,0,0,0,56,983,136200.0,19,0
1061,12151,0,1,2331,9,0,1,1,0,0,0,3,1669,317500.0,29,0
2786,9560,0,1,864,5,0,1,1,0,0,0,34,864,200000.0,26,0
1935,8923,0,1,1008,6,0,1,0,0,0,0,1,1026,141000.0,25,0
1341,5520,0,1,1216,6,0,1,1,0,0,1,11,745,128000.0,25,0
521,12606,0,1,1530,7,0,1,1,0,0,0,1,1878,224000.0,28,1
2136,8660,0,1,1025,6,0,1,1,0,0,0,31,1142,200000.0,20,0
996,9042,0,1,1638,7,0,1,1,0,0,0,10,1081,180750.0,24,0
227,11227,0,1,1440,7,0,1,0,0,0,0,42,950,135000.0,24,0
135,11380,0,1,1128,5,0,1,1,0,0,0,2,1318,142500.0,27,0
1167,2280,0,1,1549,6,0,1,0,0,0,0,9,776,224000.0,22,1
294,10452,0,1,2133,8,0,1,1,0,0,0,25,1614,199500.0,27,0
1776,9910,0,1,1369,5,1,1,0,0,0,1,0,1572,224000.0,27,0
540,13072,0,1,1114,6,0,1,0,0,0,1,4,1464,181000.0,24,0
1717,3901,0,1,1302,5,1,1,0,0,0,0,1,1462,317500.0,25,0
2303,11625,0,1,816,4,0,1,1,0,0,0,24,1146,160000.0,24,0
116,9360,0,1,1381,5,0,1,0,0,0,0,4,1161,185000.0,25,0
127,9717,0,1,1078,5,0,1,0,0,0,0,14,1556,141000.0,23,0
1371,10320,0,1,1469,7,0,1,0,0,0,0,13,1052,102388.0,25,0
1014,31220,0,1,1474,7,0,1,1,0,0,1,56,1776,181500.0,19,0
1507,8050,0,1,1137,8,0,1,0,0,0,0,15,0,125000.0,27,0
702,7596,0,1,1960,10,0,1,0,0,0,1,57,960,120000.0,21,0
750,8094,0,1,1768,8,0,1,0,0,0,0,59,1198,120000.0,22,0
261,10900,0,1,1392,6,0,1,1,0,0,0,33,725,200450.0,27,0
1559,9000,0,1,864,5,0,0,0,0,0,0,58,782,102388.0,22,0
577,15417,0,1,1740,7,0,1,0,0,0,0,28,2206,260000.0,24,0
2812,11645,0,1,1720,7,0,1,1,0,0,0,2,930,200000.0,26,0
2080,10512,0,1,1626,6,0,1,0,0,0,0,53,1354,125000.0,26,0
1368,5586,0,1,1198,7,0,1,1,0,0,1,10,999,120000.0,27,0
2376,7838,0,1,900,6,0,1,0,0,0,0,39,1183,141000.0,22,0
659,9022,0,1,792,5,0,1,0,0,0,0,3,1204,120000.0,25,0
1235,7390,0,1,1098,6,0,1,1,0,0,0,53,1098,141000.0,24,0
332,1900,0,1,1092,5,0,1,0,0,0,0,40,546,92450.0,23,0
1917,8760,0,1,936,4,0,1,0,0,0,0,8,1155,141000.0,25,0
2094,13125,0,1,2127,8,0,1,1,0,0,0,16,1592,181000.0,26,0
1460,9240,0,1,2263,7,0,1,0,0,0,0,6,1289,200000.0,28,0
1471,13125,1,1,1493,7,0,1,0,0,0,0,10,1657,200000.0,25,0
1509,11767,0,1,1200,6,0,1,0,0,0,0,13,768,125000.0,23,0
1922,9250,0,1,1056,6,0,1,0,0,0,0,2,1446,141000.0,24,0
433,13693,0,1,2674,8,0,1,0,0,1,0,2,3040,317500.0,29,0
460,6472,0,1,1456,6,0,1,0,0,0,0,1,1685,317500.0,28,0
1116,10206,0,1,1563,6,0,1,0,0,0,0,1,1806,224000.0,27,0
1137,13695,0,1,1114,6,0,1,0,0,0,1,4,1192,181000.0,23,0
53,3203,0,1,1145,6,0,1,0,0,0,0,4,1361,192250.0,26,0
2354,9512,0,1,2318,8,1,1,1,0,0,0,0,1206,224000.0,27,1
1475,9750,0,1,1445,6,0,1,0,0,0,0,4,1480,200000.0,26,0
1761,15623,0,1,4476,10,0,1,1,0,0,0,11,2645,300750.0,29,0
842,8072,0,1,990,5,0,1,0,0,0,0,14,1054,200000.0,22,0
2739,11679,0,1,1560,6,0,1,1,0,0,0,44,2626,125000.0,24,0
2509,2544,0,1,1223,4,0,1,0,0,0,0,1,766,224000.0,24,1
1007,10832,0,1,1895,7,0,1,1,0,0,0,12,901,181250.0,26,0
2610,9786,0,1,1734,7,0,1,1,0,0,0,25,1040,141000.0,25,0
1952,5400,0,1,691,4,0,1,0,0,0,0,57,805,120000.0,22,0
2719,8235,0,1,1949,10,0,1,0,0,0,0,29,1981,135000.0,21,0
2921,1894,0,1,1092,6,0,1,0,0,0,0,36,570,92450.0,18,0
1966,7903,0,1,1242,6,0,1,0,0,0,0,47,1242,141000.0,22,0
292,9839,0,1,1666,7,0,1,0,0,0,1,60,1050,136200.0,22,0
1204,9900,0,1,1978,9,0,1,0,0,0,1,40,875,185000.0,25,0
1829,17542,0,1,2167,9,0,1,1,0,0,0,4,1459,260000.0,26,0
2419,9073,0,1,1492,8,1,1,1,0,0,0,0,870,180750.0,26,0
391,10140,0,1,1350,7,0,1,0,0,0,0,35,1064,185000.0,23,0
798,9060,0,1,1258,6,0,1,0,0,0,0,59,560,125000.0,21,0
481,8965,0,1,1489,8,0,1,1,0,0,0,6,857,180750.0,26,0
193,7793,0,0,2068,8,0,1,1,0,0,0,5,1168,128000.0,23,0
555,9750,0,1,980,5,0,1,1,0,0,0,47,1008,135000.0,21,0
899,10206,0,0,944,4,0,1,0,0,0,0,57,0,125000.0,13,0
2357,10140,0,1,1664,8,0,1,0,0,0,0,30,1119,185000.0,24,0
328,2394,1,1,945,5,0,1,0,0,0,0,37,1283,92450.0,25,0
1356,10267,0,1,838,5,0,1,0,0,0,0,8,928,128000.0,25,0
1154,6360,0,1,864,5,0,1,0,0,0,0,45,864,135650.0,22,0
1730,10237,0,1,1484,8,1,1,0,0,0,0,0,855,180750.0,25,0
2249,7540,0,1,912,5,0,1,1,1,0,0,29,1080,160000.0,26,0
1119,9428,0,1,1874,8,1,1,0,0,0,0,0,1231,224000.0,27,0
2856,10164,0,1,1465,6,0,1,0,0,0,0,56,1118,136200.0,19,0
1394,13825,0,1,1601,6,0,1,0,0,0,0,21,847,135000.0,24,0
2587,7700,0,1,1145,6,0,1,0,0,0,0,50,301,141000.0,23,0
61,17433,0,1,2475,7,0,1,1,1,0,0,12,2080,300750.0,27,0
2661,6300,0,1,2104,9,0,1,0,0,0,0,1,1655,120000.0,25,0
2711,10366,0,1,934,4,0,1,1,0,0,0,42,989,135500.0,25,0
1147,9291,0,1,1710,7,0,1,1,0,0,1,15,1046,181000.0,25,0
757,5775,1,1,1427,7,0,1,1,0,0,1,7,619,120000.0,27,0
2623,7200,0,1,1040,4,0,1,0,0,0,0,56,29,141000.0,18,0
2378,2179,0,1,1456,6,0,1,0,0,0,0,30,883,143000.0,24,0
1413,9360,0,1,1269,7,0,1,0,0,0,0,7,857,125000.0,24,0
1722,6442,0,1,1370,6,0,1,1,0,0,0,1,1539,317500.0,27,0
1112,14598,0,1,1933,9,0,1,1,1,0,1,1,1012,224000.0,26,0
1623,8637,0,1,1714,7,0,1,1,0,0,0,7,1227,180750.0,24,0
1201,9120,0,1,1876,8,0,1,0,0,0,0,34,970,185000.0,24,0
1513,5142,0,1,1292,6,0,1,0,0,0,0,0,1132,125000.0,21,0
957,215245,1,1,2036,8,0,1,1,0,0,0,44,2136,220000.0,24,0
1171,4109,0,1,1557,5,0,1,1,0,0,0,8,1794,224000.0,28,1
1145,8285,0,1,1737,7,0,1,0,0,0,0,16,1113,181000.0,25,0
2726,20355,1,1,1830,6,0,1,0,0,0,0,39,2148,225000.0,25,0
703,3378,0,1,1389,6,0,1,0,0,0,0,17,777,120000.0,26,0
760,5160,0,1,892,5,0,1,0,0,0,0,59,1123,102388.0,23,0
1964,7500,0,1,1040,6,0,1,0,0,0,0,4,1040,141000.0,26,0
2512,3735,0,1,1452,6,0,1,0,0,0,0,7,725,224000.0,24,1
159,6979,0,1,1056,4,0,1,0,0,0,0,30,1376,120600.0,22,0
1281,7056,0,1,1796,8,0,1,0,0,0,0,45,830,141000.0,23,0
468,11911,0,1,1560,6,0,1,1,0,0,0,4,822,180750.0,26,0
290,7890,0,1,856,4,0,1,0,0,0,0,60,1022,136200.0,22,0
665,10800,0,0,846,4,0,1,0,0,0,0,59,720,120000.0,22,0
1463,11250,0,1,2290,9,0,1,0,0,0,0,6,1128,200000.0,27,0
1792,9605,0,1,1977,7,0,1,0,0,0,0,1,1275,224000.0,26,0
923,14680,0,1,1273,5,0,1,1,0,0,0,49,1871,199500.0,23,0
500,10208,0,1,2344,7,0,1,1,0,0,0,12,1484,300750.0,26,0
1408,19550,0,1,1518,5,0,1,0,0,0,0,1,1619,125000.0,27,0
331,1491,0,1,630,3,0,1,0,0,0,0,38,750,92450.0,25,0
170,4800,0,1,1844,9,0,1,0,0,0,0,56,793,120000.0,20,0
2192,8172,0,1,768,4,0,1,0,0,0,0,52,964,125000.0,19,0
2571,25419,0,1,3112,8,0,1,0,0,0,1,16,1928,141000.0,23,0
2314,13031,0,1,1498,6,0,1,1,0,0,0,10,1050,180750.0,24,0
2647,5633,0,1,844,5,0,1,0,0,0,0,56,1098,120000.0,22,0
422,14257,0,1,2772,10,0,1,0,0,1,0,2,1975,317500.0,29,0
2457,20896,0,1,2097,8,1,1,1,1,0,0,0,2536,224000.0,27,0
1838,4230,0,1,1352,5,1,1,0,0,0,0,0,1593,224000.0,26,1
2805,15611,0,1,1919,8,1,1,0,0,0,0,0,1130,200000.0,27,0
1645,10960,0,1,1284,5,0,1,1,0,0,0,23,1476,185000.0,23,0
1711,11999,0,1,2374,10,0,1,0,0,0,0,3,1385,317500.0,28,0
2825,11060,0,1,2314,9,0,1,1,0,0,0,1,1424,125000.0,27,0
322,13214,0,1,2018,10,0,1,1,0,0,0,1,2222,220000.0,28,0
2103,10235,0,1,1651,7,1,1,1,0,0,0,0,1899,200000.0,27,0
342,13008,0,1,882,5,0,1,1,0,0,0,53,882,141000.0,23,0
600,7436,0,1,894,5,0,1,0,0,0,0,49,1254,141000.0,22,0
488,8123,0,1,1800,7,0,1,1,0,0,0,9,1145,180750.0,25,0
1725,7820,0,1,1869,6,1,1,1,0,0,0,0,2133,317500.0,28,0
2246,5568,1,1,1625,5,1,1,1,0,0,0,0,1849,199500.0,26,0
2847,8400,0,1,1595,6,0,1,0,0,0,1,6,1048,136200.0,25,0
806,9828,0,1,2020,8,0,1,1,0,0,0,14,1283,181000.0,27,0
530,9375,0,1,2094,8,0,1,0,0,0,0,5,1276,224000.0,27,1
963,11457,0,1,1412,6,0,1,1,0,0,0,21,1561,220000.0,23,0
2678,6120,0,1,1162,6,0,1,0,0,0,0,56,752,128000.0,20,0
171,8800,0,1,1140,7,0,1,0,0,0,0,6,736,120000.0,25,0
2401,20431,0,1,2728,10,1,1,1,0,0,1,0,1848,317500.0,28,0
805,10560,0,1,1879,8,0,1,0,0,0,0,15,1723,181000.0,26,0
2259,19958,0,1,2279,7,0,1,0,0,0,0,12,997,220000.0,27,0
1748,11084,0,1,1374,8,0,1,1,0,0,0,3,484,180750.0,27,0
1361,10266,0,1,1536,7,0,1,0,0,0,0,56,1064,102388.0,21,0
1677,1890,0,1,1218,7,0,1,0,0,0,0,34,844,105500.0,21,0
1406,10452,0,1,1094,5,0,1,1,0,0,0,55,1381,125000.0,25,0
2322,23257,0,1,2021,9,1,1,1,1,0,0,0,968,180750.0,27,0
688,7570,0,1,1806,8,0,1,0,0,0,0,45,835,141000.0,23,0
143,8400,0,1,1314,5,0,1,0,0,0,0,53,1564,141000.0,23,0
804,9317,0,1,1775,7,0,1,0,0,0,0,16,1238,181000.0,26,0
1214,9020,0,1,1350,6,0,1,0,0,0,1,44,1424,141000.0,23,0
2828,3675,0,1,1072,5,1,1,0,0,0,0,0,591,125000.0,23,0
1999,7200,0,0,2291,9,0,1,0,0,0,0,9,1313,120000.0,24,0
2467,8125,0,1,1576,6,1,1,0,0,0,0,0,820,224000.0,26,1
2665,7200,0,1,1762,8,0,1,0,0,0,0,56,853,120000.0,26,0
1538,14100,1,1,3447,11,0,1,1,0,0,0,11,1054,199500.0,32,0
398,7038,0,1,864,5,0,1,0,0,0,0,39,1074,141000.0,20,0
2822,16133,0,1,1176,5,0,1,0,0,0,0,37,1380,125000.0,21,0
2157,4435,0,1,848,3,0,1,0,0,0,0,4,988,200000.0,25,0
1856,16157,0,1,1432,5,0,1,1,0,0,1,29,1708,260000.0,26,0
1269,7200,0,1,1048,7,0,1,0,0,0,0,58,27,141000.0,21,0
2570,9000,0,1,1128,5,0,1,0,0,0,0,52,936,141000.0,22,0
2320,10463,0,1,1801,8,0,1,1,1,0,0,1,1009,180750.0,27,0
1517,12155,0,0,1482,7,0,1,1,0,0,0,58,926,136200.0,24,0
2304,10712,0,1,974,5,0,1,0,0,0,0,15,1002,160000.0,23,0
1312,9143,0,1,1017,5,0,1,0,0,0,0,5,485,120000.0,24,0
2012,6000,0,1,1218,6,0,1,0,0,0,0,57,735,128000.0,24,0
506,29959,0,1,1850,7,0,1,1,0,0,0,15,1239,300750.0,28,0
2865,16560,0,1,2345,9,0,1,1,0,0,0,56,952,199500.0,24,0
2367,1953,0,1,987,5,0,1,0,0,0,0,33,555,105500.0,21,0
554,9000,0,0,784,5,0,1,0,0,0,0,59,875,181000.0,18,0
238,9571,0,1,1144,6,0,1,0,0,0,0,54,1188,125000.0,23,0
1954,8700,0,1,888,5,0,1,1,0,0,0,46,920,141000.0,25,0
2488,8927,0,1,1654,10,0,1,0,0,0,1,29,0,135000.0,24,0
2291,1890,0,1,1092,6,0,1,0,0,0,0,31,546,92450.0,21,0
1969,7000,0,1,925,7,0,1,0,0,0,1,46,0,141000.0,24,0
2725,14175,1,1,1437,6,0,1,0,0,0,0,19,1492,135000.0,22,0
1482,4426,0,1,848,3,0,1,0,0,0,0,4,997,200000.0,25,0
2763,9316,0,1,1596,6,0,1,1,0,0,0,1,973,200000.0,26,0
503,9085,0,1,2061,7,0,1,0,0,0,0,13,1677,300750.0,26,0
1584,11202,0,1,1440,7,0,1,1,0,0,0,5,1712,220000.0,27,0
1531,9650,0,1,1603,7,0,1,1,0,0,0,58,1001,199500.0,21,0
2210,7136,0,0,1958,8,0,1,1,0,0,0,57,979,199500.0,22,0
459,7390,0,1,1884,6,1,1,1,0,0,0,0,2205,317500.0,28,0
556,7064,0,1,980,6,0,1,0,0,0,0,32,1172,135000.0,21,0
1347,6120,0,1,1902,7,0,1,0,0,0,1,58,1294,120000.0,20,0
1290,4800,0,1,672,4,0,1,0,0,0,0,58,672,120000.0,19,0
1388,9000,0,1,1006,5,0,1,0,0,0,0,49,1030,135000.0,21,0
1571,164660,1,1,1786,7,0,0,1,0,0,0,43,2169,220700.0,25,0
2754,6762,0,1,1294,6,1,1,0,0,0,0,0,1509,200000.0,26,0
765,10547,0,1,1152,6,0,1,1,0,0,0,31,1152,125000.0,20,0
2494,13052,0,1,1024,5,0,1,1,1,0,0,41,1024,135000.0,23,0
2870,15600,0,1,2315,9,0,1,0,0,0,0,43,1360,199500.0,25,0
7,4920,0,1,1338,6,0,1,0,0,0,0,9,1508,322450.0,27,0
1114,13253,0,1,1578,7,0,1,1,0,0,0,2,1604,224000.0,25,0
2418,11631,0,1,2373,9,1,1,1,0,0,0,1,1218,180750.0,28,0
291,7200,0,1,2650,10,0,1,0,0,0,0,43,0,136700.0,23,0
18,11394,0,1,1856,8,1,1,0,0,0,0,0,1969,322450.0,25,0
39,10159,0,1,1940,8,1,1,1,0,0,0,0,2193,317500.0,28,0
1001,6264,0,1,1682,6,0,1,1,0,0,0,11,1664,322450.0,27,0
2442,8738,0,1,2291,8,0,1,1,0,0,0,7,1167,180750.0,27,0
616,7015,0,1,1203,5,0,1,1,0,0,0,59,957,128000.0,19,0
2680,6240,0,0,912,3,0,1,0,0,0,0,56,0,128000.0,23,0
1414,8405,0,1,1367,7,0,1,0,0,0,0,58,1103,125000.0,25,0
289,5000,0,1,1691,6,0,1,0,0,0,0,60,1268,136200.0,21,0
40,12883,0,1,1544,7,1,1,1,0,0,0,0,1579,317500.0,27,0
860,7200,0,1,894,6,0,1,0,0,0,0,37,1109,200000.0,20,0
409,4928,0,1,958,5,0,1,1,0,0,0,33,1018,143000.0,24,0
673,8712,0,1,1306,5,0,1,1,0,0,0,9,992,141000.0,22,0
2427,3010,0,1,1142,6,1,1,0,0,0,0,0,1232,192250.0,26,0
2036,9780,0,1,1952,8,0,1,0,0,0,0,2,1477,102388.0,28,0
2564,9462,0,1,1728,7,0,1,0,0,0,0,33,1009,141000.0,23,0
642,9482,0,1,1866,8,0,1,0,0,0,0,51,1866,141000.0,21,0
1008,14067,0,1,1709,7,0,1,0,0,0,0,17,876,180750.0,24,0
1908,11345,0,1,1920,10,0,1,0,0,0,1,57,928,141000.0,20,0
2519,3760,0,1,1235,4,0,1,1,1,0,0,26,1446,190000.0,26,0
1369,10320,0,1,759,5,0,1,0,0,0,1,17,491,102388.0,23,0
2855,7588,0,1,1802,9,0,1,0,0,0,0,56,833,199500.0,24,0
712,8520,0,1,792,5,0,1,0,0,0,0,59,705,120000.0,23,0
1943,14190,0,1,1544,7,0,1,0,0,0,1,1,1156,120000.0,25,0
1958,11664,0,1,1082,5,0,1,0,0,0,1,57,1212,141000.0,21,0
107,4420,0,1,788,3,0,1,1,1,0,0,30,903,190000.0,23,0
2295,33983,0,1,1676,6,0,1,1,0,0,0,13,1940,160000.0,23,0
704,10134,0,0,1447,6,0,1,0,0,0,0,59,1125,120000.0,24,0
676,12144,0,1,1268,6,0,1,0,0,0,0,59,860,141000.0,25,0
259,8750,0,1,1682,7,0,1,0,0,0,0,12,881,200000.0,25,0
